Total Bytes Allocated,Registery Access,Write Operations,ActiveX Controls,Network Activities,Directory and File Operations,Embedded iframes,Data Types and Handling,Label
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
32778,0,0,0,0,0,0,0,Benign
1288,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
7566,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
5444,0,0,0,0,0,0,0,Benign
2954,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
76,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
156,0,0,0,0,0,0,0,Benign
8378,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
138,0,0,0,0,0,0,0,Benign
84,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
278,0,0,0,0,0,0,0,Benign
6786,0,0,0,0,0,0,0,Benign
1361,0,0,0,0,0,0,0,Benign
1801,0,0,0,0,0,0,0,Benign
6765,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1333,0,0,0,0,0,0,0,Benign
6947,0,0,0,0,0,0,0,Benign
1577,0,0,0,0,0,0,0,Benign
6789,0,0,0,0,0,0,0,Benign
2702,0,0,0,0,0,0,0,Benign
20,0,0,0,0,0,0,0,Benign
2702,0,0,0,0,0,0,0,Benign
1673,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1389,0,0,0,0,0,0,0,Benign
120961,0,0,0,0,0,0,0,Benign
1589,0,0,0,0,0,0,0,Benign
2281,0,0,0,0,0,0,0,Benign
588,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
28302,0,0,0,0,0,0,0,Benign
13,0,0,0,0,0,0,0,Benign
1401,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1118,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
2704,0,0,0,0,0,0,0,Benign
3916,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
242,0,0,0,0,0,0,0,Benign
32,0,0,0,0,0,0,0,Benign
5476,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
259,0,0,0,0,0,0,0,Benign
6124,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
2173,0,0,0,0,0,0,0,Benign
13763,0,0,0,0,0,0,0,Benign
132017,4,0,0,0,0,0,0,Benign
15208,4,0,0,0,0,0,0,Benign
30624,0,0,0,0,0,0,0,Benign
110,0,0,0,0,0,0,0,Benign
157,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
138,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
98006,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
16,0,0,0,0,0,0,0,Benign
1386,0,0,0,0,0,0,0,Benign
10836,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
2262,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
272,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
6626,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
5942,0,0,0,0,0,0,0,Benign
6938,0,0,0,0,0,0,0,Benign
11232,0,0,0,0,0,0,0,Benign
220,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
368,0,0,0,0,0,0,0,Benign
10466,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1960,0,0,0,0,0,0,0,Benign
186,0,0,0,0,0,0,0,Benign
82788,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
6471,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
14,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
4103,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
8,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
52,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
15460,0,0,0,0,0,0,0,Benign
30,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
50,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
4768,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
83594,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1960,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
5376,0,0,0,0,0,0,0,Benign
1412,0,0,0,0,0,0,0,Benign
124,0,0,0,0,0,0,0,Benign
11422,0,0,0,0,0,0,0,Benign
60,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
138,0,0,0,0,0,0,0,Benign
248,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
6440,0,0,0,0,0,0,0,Benign
1412,0,0,0,0,0,0,0,Benign
54,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
162,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
262,0,0,0,0,0,0,0,Benign
2146,0,0,0,0,0,0,0,Benign
1178,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
2144,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1772,0,0,0,0,0,0,0,Benign
194,0,0,0,0,0,0,0,Benign
902,0,0,0,0,0,0,0,Benign
2156,0,0,0,0,0,0,0,Benign
20,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
9200,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
5417,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1056,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
157,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1328,0,0,0,0,0,0,0,Benign
76,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
320,0,0,0,0,0,0,0,Benign
7218,0,0,0,0,0,0,0,Benign
22,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1068,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
278253,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
16052,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
10470,0,0,0,0,0,0,0,Benign
44,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
7035,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1052,0,0,0,0,0,0,0,Benign
24,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
188,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1878,0,0,0,0,0,0,0,Benign
5502,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1068,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
28588,0,0,0,0,0,0,0,Benign
438,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
5786,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
1052,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
448,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
24,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
428,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
16,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
605184,0,0,0,0,0,0,0,Benign
542,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
0,0,0,0,0,0,0,0,Benign
