Volatility 3 Framework 2.10.0

Offset	Name

0x830563e944f0	\Windows\System32\drivers\msquic.sys
0x830563eab250	\Windows\System32\en-US\netprofmsvc.dll.mui
0x83056544a210	\Windows\System32\drivers\npfs.sys
0x83056544a4f0	\Windows\System32\drivers\tdx.sys
0x83056544a7d0	\Windows\System32\drivers\tdi.sys
0x83056544ac20	\Windows\System32\drivers\msfs.sys
0x83056544b070	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys
0x83056544b350	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys
0x83056544bbf0	\$Directory
0x83056544bd60	\Windows\System32\drivers\cimfs.sys
0x830565450660	\Windows\System32\drivers\netbt.sys
0x8305654507d0	\Windows\System32\drivers\VBoxSF.sys
0x830565450ab0	\Windows\System32\drivers\vwififlt.sys
0x830565451070	\Windows\System32\drivers\afunix.sys
0x8305654511e0	\Windows\System32\drivers\pacer.sys
0x8305654514c0	\Windows\System32\drivers\ndiscap.sys
0x830565451630	\Windows\System32\drivers\netbios.sys
0x830565451a80	\Windows\System32\drivers\afd.sys
0x830565542380	\$Extend\$RmMetadata\$Repair
0x8305655424f0	\$LogFile
0x830565543630	\$MftMirr
0x8305655437a0	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x830565543910	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x830565543a80	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0x830565595390	\Windows\System32\drivers\rdpbus.sys
0x8305655957e0	\Windows\System32\drivers\hdaudbus.sys
0x830565596080	\Windows\System32\drivers\portcls.sys
0x8305655961f0	\Windows\System32\drivers\USBXHCI.SYS
0x830565596360	\Windows\System32\drivers\drmk.sys
0x830565596920	\Windows\System32\drivers\E1G6032E.sys
0x830565596a90	\Windows\System32\drivers\Ucx01000.sys
0x8305655971c0	\Windows\System32\drivers\CmBatt.sys
0x8305655974a0	\Windows\System32\drivers\amdppm.sys
0x830565597610	\Windows\System32\drivers\ks.sys
0x830565597780	\Windows\System32\drivers\battc.sys
0x830565597a60	\Windows\System32\drivers\NdisVirtualBus.sys
0x830565597d40	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys
0x830565598a30	\$Directory
0x830565598d10	\Windows\System32\drivers\USBHUB3.SYS
0x830565598e80	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
0x8305659450a0	TxfLog
0x830565945210	\:$I30:$INDEX_ALLOCATION
0x8305659454f0	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x830565945660	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x8305659457d0	\$Directory
0x830565945940	\$Directory
0x830565945ab0	\Windows\System32\drivers\tbs.sys
0x830565946350	\$Extend\$RmMetadata\$TxfLog\$Tops
0x8305659464c0	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x830565946630	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x8305659467a0	KtmLog
0x830565946910	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
