Volatility 3 Framework 2.10.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x830563e97080	0x4	Process	0x1fffff	System Pid 4
4	System	0x830563f41140	0x8	Thread	0x1fffff	Tid 28 Pid 4
4	System	0xe786068310e0	0xc	Directory	0xf000f	
4	System	0x830563ea9420	0x10	Partition	0x1f0003	MemoryPartition0
4	System	0xe78606807bb0	0x14	Directory	0xf000f	GLOBAL??
4	System	0xe786068313a0	0x18	Directory	0xf000f	KernelObjects
4	System	0x830563eaa0a0	0x1c	Mutant	0x1f0001	BcdSyncMutant
4	System	0x830563eac8a0	0x20	Event	0x1f0003	LowPagedPoolCondition
4	System	0x830563eaca20	0x24	Event	0x1f0003	HighPagedPoolCondition
4	System	0x830563eacaa0	0x28	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0x830563eacc20	0x2c	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0x830563eac0a0	0x30	Event	0x1f0003	LowMemoryCondition
4	System	0x830563eac520	0x34	Event	0x1f0003	HighMemoryCondition
4	System	0x830563eacea0	0x38	Event	0x1f0003	LowCommitCondition
4	System	0x830563eac320	0x3c	Event	0x1f0003	HighCommitCondition
4	System	0x830563eac720	0x40	Event	0x1f0003	MaximumCommitCondition
4	System	0x830563eacf20	0x44	Event	0x1f0003	MemoryErrors
4	System	0x830563eac2a0	0x48	Event	0x1f0003	PhysicalMemoryChange
4	System	0x830563f51040	0x4c	Thread	0x1fffff	Tid 76 Pid 4
4	System	0x830563f55040	0x50	Process	0x1fffff	Registry Pid 92
4	System	0xe786068eb600	0x54	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xe786068754a0	0x58	Key	0x0	
4	System	0xe786090832c0	0x5c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\AUDIO\HDAUDIOFLAGS
4	System	0xe786068ece70	0x64	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LEAPSECONDINFORMATION
4	System	0xe786068eba40	0x68	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0xe786068ecc50	0x6c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xe786068eb1c0	0x70	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
