Volatility 3 Framework 2.10.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x830563e97080	149	-	N/A	False	2024-09-20 02:16:31.000000 UTC	N/A	Disabled
92	4	Registry	0x830563f55040	4	-	N/A	False	2024-09-20 02:16:24.000000 UTC	N/A	Disabled
348	4	smss.exe	0x830565c93080	2	-	N/A	False	2024-09-20 02:16:31.000000 UTC	N/A	Disabled
452	440	csrss.exe	0x830565b1e140	10	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
524	440	wininit.exe	0x83056a32c080	1	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
532	516	csrss.exe	0x83056a32f140	12	-	1	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
604	516	winlogon.exe	0x83056a354080	5	-	1	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
656	524	services.exe	0x83056a3dc280	6	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
664	524	lsass.exe	0x83056a325080	10	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
776	656	svchost.exe	0x83056a39b080	15	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
784	604	fontdrvhost.ex	0x83056a39c080	5	-	1	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
792	524	fontdrvhost.ex	0x83056a39e080	5	-	0	False	2024-09-20 02:16:37.000000 UTC	N/A	Disabled
896	656	svchost.exe	0x83056b07c240	13	-	0	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
992	604	LogonUI.exe	0x83056b15a280	0	-	1	False	2024-09-20 02:16:38.000000 UTC	2024-09-19 13:47:09.000000 UTC	Disabled
1000	604	dwm.exe	0x83056b15c200	15	-	1	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
472	656	svchost.exe	0x83056b1750c0	70	-	0	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
684	656	svchost.exe	0x83056b196080	14	-	0	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
632	656	svchost.exe	0x83056b199080	16	-	0	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
1044	656	svchost.exe	0x83056b1d10c0	16	-	0	False	2024-09-20 02:16:38.000000 UTC	N/A	Disabled
