Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000001f40310      1      1 ------ \Device\Afd\Endpoint
0x0000000001f65718      2      1 ------ \Device\Afd\Endpoint
0x0000000001f66cd8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmipcima.dll
0x0000000001f67198      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\TASKDL.EXE-01687054.pf
0x0000000001f67a70      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\security.dll
0x0000000001f67c68      1      0 R--rwd \Device\HarddiskVolume1\boot.ini
0x0000000001f67ef8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\cfgmgr32.dll
0x0000000001f684d0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\framedyn.dll
0x0000000001f686d8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\cimwin32.dll
0x0000000001f6a7f0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\kmddsp.tsp
0x0000000001f6ae20      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6b9b0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6bbf8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6bdc8      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x0000000001f6be60      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\win.ini
0x0000000001f6bf90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6c2a8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6c3b8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6cea0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6d158      2      1 ------ \Device\NamedPipe\lsass
0x0000000001f6d4a8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6dba8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6e188      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f6e6a0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f70708      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rastapi.dll
0x0000000001f71190      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f71b88      1      0 -W-r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\Logs\wbemess.log
0x0000000001f72f90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f732b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\uniplat.dll
0x0000000001f735d8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f753d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0000000001f75888      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f75ba8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f75df0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f761a8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f76368      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f769e0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f76b10      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f76e58      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\desktop.ini
0x0000000001f76f48      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f77028      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\donny\Start Menu\Programs\Accessories\Accessibility\desktop.ini
0x0000000001f77298      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f77728      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7a190      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7a590      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7a990      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7aea0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7b308      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7b748      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7bbd0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7d518      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7da18      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\User Account Pictures\Default Pictures\butterfly.bmp.WNCRY
0x0000000001f7dae0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f7f180      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\donny\My Documents\My Pictures\Desktop.ini
0x0000000001f7f218      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rasqec.dll
0x0000000001f7f538      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001f80bd8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f81548      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\framedyn.dll
0x0000000001f83390      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f83758      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\Fonts\times.ttf
0x0000000001f840a0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f866b8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f87028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1258.nls
0x0000000001f871a0      1      0 R--rw- \Device\HarddiskVolume1\Intel\ivecuqmanpnirkt615\@WanaDecryptor@.exe
0x0000000001f87c10      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\Fonts\timesbd.ttf
0x0000000001f87f08      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msls31.dll
0x0000000001f88140      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1257.nls
0x0000000001f885e8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1256.nls
0x0000000001f88d00      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1254.nls
0x0000000001f8d548      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f8f798      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f8f9c0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f8fbf8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f90438      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f90a38      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f90ea0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f92cf0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f92d88      1      1 ------ \Device\NamedPipe\ROUTER
0x0000000001f95c28      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f990d8      2      1 ------ \Device\NamedPipe\srvsvc
0x0000000001f997c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000001f99a18      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000001f99ab0      1      1 ------ \Device\NamedPipe\trkwks
0x0000000001f99d20      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001f9a848      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1255.nls
0x0000000001f9aea8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1253.nls
0x0000000001f9fe18      1      1 ------ \Device\NamedPipe\lsass
0x0000000001fa1e60      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000001fa1ef8      2      1 ------ \Device\NamedPipe\winreg
0x0000000001fa1f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000001fa2c88      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001fa30c0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fa55b0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fa6960      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fa6ba8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fa6df0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fa8cc0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202.Manifest
0x0000000001fac638      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001facf28      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fb12c0      1      1 ------ \Device\KSENUM#00000001\{9B365890-165F-11D0-A195-0020AFD156E4}
0x0000000001fb17a8      1      0 R--r-d \Device\HarddiskVolume1\Intel\ivecuqmanpnirkt615\@WanaDecryptor@.exe
0x0000000001fb1880      1      0 -W-r-- \Device\HarddiskVolume1\WINDOWS\Debug\UserMode\userenv.log
0x0000000001fb1a40      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\pchealth\helpctr\BATCH
0x0000000001fb2278      1      0 R--r-d \Device\HarddiskVolume1\Intel\ivecuqmanpnirkt615\taskse.exe
0x0000000001fb3d10      1      1 ------ \Device\NamedPipe\keysvc
0x0000000001fb5620      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmipcima.dll
0x0000000001fb6310      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\donny\Start Menu\Programs\Startup\desktop.ini
0x0000000001fb7650      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mfc42.dll
0x0000000001fb78a0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001fb7eb8      2      1 ------ \Device\NamedPipe\keysvc
0x0000000001fb7f50      2      1 ------ \Device\NamedPipe\DAV RPC SERVICE
0x0000000001fb8350      1      1 ------ \Device\NamedPipe\srvsvc
